RunName,Wavelength,Error(Dens),Error(Real)
fd_2_PWave_NWavelength,1,1.5319633441504118e-08,2.4063917230137776e-08
fd_2_PWave_NWavelength,2,2.4510829792601826e-07,3.850168745139599e-07
fd_2_PWave_NWavelength,3,1.2408273370933668e-06,1.9490990054496133e-06
fd_2_PWave_NWavelength,4,3.921242522863923e-06,6.159898915170454e-06
fd_2_PWave_NWavelength,6,1.9850955374152736e-05,3.118135756039179e-05
fd_2_PWave_NWavelength,9,0.0001004710148132138,0.00015781996823410654
fd_2_PWave_NWavelength,13,0.0004371712978368544,0.0006867101702504262
fd_2_PWave_NWavelength,19,0.001992856625985008,0.0031303717955294343
fd_2_PWave_NWavelength,27,0.008111653557895181,0.024963979106183466
fd_2_PWave_NWavelength,40,0.03891337616245488,0.06111118137189202
fd_2_PWave_NWavelength,57,0.1586785210834822,0.4871187564243882
fd_2_PWave_NWavelength,83,0.666931098492316,1.8118476882128436
fd_2_PWave_NWavelength,119,0.9879927301661997,2.5607408125505806
fd_2_PWave_NWavelength,172,0.4253703746471939,1.2397103628452244
fd_2_PWave_NWavelength,247,1.1283469017412815,3.136175327357371
fd_2_PWave_NWavelength,355,0.045556616789262205,0.09643730694938099
fd_2_PWave_NWavelength,512,1.1081677021630644e-12,5.338253141841252
fd_4_PWave_NWavelength,1,3.076898477216532e-13,4.833761276852199e-13
fd_4_PWave_NWavelength,2,1.968613469903924e-11,3.092306646375776e-11
fd_4_PWave_NWavelength,3,2.2422275618654654e-10,3.5221045615360224e-10
fd_4_PWave_NWavelength,4,1.2596314569150727e-09,1.9787617217428783e-09
fd_4_PWave_NWavelength,6,1.4345334190876684e-08,2.2533275692334975e-08
fd_4_PWave_NWavelength,9,1.6330063419166933e-07,2.56512811578922e-07
fd_4_PWave_NWavelength,13,1.4814192284466563e-06,2.3270198962122936e-06
fd_4_PWave_NWavelength,19,1.4401845631466043e-05,2.2622456657166577e-05
fd_4_PWave_NWavelength,27,0.00011801340475374096,0.0001853742153822007
fd_4_PWave_NWavelength,40,0.0012333330511839168,0.0019369924559925504
fd_4_PWave_NWavelength,57,0.010097244019551662,0.040281041581697694
fd_4_PWave_NWavelength,83,0.09148138037954104,0.2727107046400361
fd_4_PWave_NWavelength,119,0.6761882685024742,1.8616211027337768
fd_4_PWave_NWavelength,172,0.9939569186012506,2.790680118570396
fd_4_PWave_NWavelength,247,0.650932324679018,2.1507814722386764
fd_4_PWave_NWavelength,355,0.823445925642279,2.2934198362276117
fd_4_PWave_NWavelength,512,1.1081775769754869e-12,5.865942532873711
gramfe_fft_PWave_NWavelength,1,1.5803991551847573e-15,1.4909321471639689e-15
gramfe_fft_PWave_NWavelength,2,2.0729725309356563e-15,2.3870794528318626e-15
gramfe_fft_PWave_NWavelength,3,2.5550232163828145e-15,3.1307925917295042e-15
gramfe_fft_PWave_NWavelength,4,3.2867893790759082e-15,3.880342634666675e-15
gramfe_fft_PWave_NWavelength,6,5.309119504161124e-15,4.344786046239259e-15
gramfe_fft_PWave_NWavelength,9,7.327475350657822e-15,4.125828029374023e-15
gramfe_fft_PWave_NWavelength,13,5.088523325575897e-15,3.369894322629869e-15
gramfe_fft_PWave_NWavelength,19,1.497392636859267e-14,1.6714300401360606e-14
gramfe_fft_PWave_NWavelength,27,1.2461291272811278e-12,9.143328184423732e-13
gramfe_fft_PWave_NWavelength,40,3.638549099873895e-10,2.72581677566411e-10
gramfe_fft_PWave_NWavelength,57,2.0533596789555363e-08,1.7001053609781045e-08
gramfe_fft_PWave_NWavelength,83,2.709595829576203e-06,2.288870954222116e-06
gramfe_fft_PWave_NWavelength,119,0.0002524687030481643,8.273181142223454e-05
gramfe_fft_PWave_NWavelength,172,0.034357421393371154,0.0386720933394379
gramfe_fft_PWave_NWavelength,247,0.6163621969470244,1.957483675502644
gramfe_fft_PWave_NWavelength,355,0.25344417731606306,0.7565718605499797
gramfe_fft_PWave_NWavelength,512,1.1080763709331497e-12,5.7186803772367405
gramfe_matmul_PWave_NWavelength,1,2.0872816498529445e-08,2.2565857377302918e-08
gramfe_matmul_PWave_NWavelength,2,2.843231534175072e-08,2.426448185517392e-08
