OPT__FLU_INT_SCHEME,OPT__INT_PHASE,VorPairLin_kx,OPT__REF_FLU_INT_SCHEME,Mean_L1_Error
8,0,1,8,1.1108900494207064e-07
8,0,9,8,0.0006087941082404734
8,0,17,8,0.011860438285029244
8,0,25,8,0.07246696130451674
8,0,33,8,0.5950654381082926
8,0,41,8,0.8802142143553997
8,0,49,8,0.8984202712534037
8,0,57,8,0.9003481297447897
8,1,1,8,6.631194143740362e-05
8,1,9,8,0.03105145888634577
8,1,17,8,0.21512123152919083
8,1,25,8,0.25111208221947273
8,1,33,8,0.6415167438385829
8,1,41,8,0.953697334246478
8,1,49,8,0.9397321296832997
8,1,57,8,0.9011300220624587
